,Commodity_Description,Year,Country_Code,Attribute_Description,Unit_Description,Value
45,"Dairy, Milk, Fluid",1998,US,Production,(MT),71334000.0
46,"Dairy, Milk, Fluid",1999,US,Production,(MT),73750000.0
47,"Dairy, Milk, Fluid",2000,US,Production,(MT),75929000.0
48,"Dairy, Milk, Fluid",2001,US,Production,(MT),74994000.0
49,"Dairy, Milk, Fluid",2002,US,Production,(MT),77140000.0
50,"Dairy, Milk, Fluid",2003,US,Production,(MT),77290000.0
51,"Dairy, Milk, Fluid",2004,US,Production,(MT),77535000.0
52,"Dairy, Milk, Fluid",2005,US,Production,(MT),80286000.0
53,"Dairy, Milk, Fluid",2006,US,Production,(MT),82582000.0
54,"Dairy, Milk, Fluid",2007,US,Production,(MT),84211000.0
55,"Dairy, Milk, Fluid",2008,US,Production,(MT),86410000.0
56,"Dairy, Milk, Fluid",2009,US,Production,(MT),86817000.0
57,"Dairy, Milk, Fluid",2010,US,Production,(MT),87488000.0
58,"Dairy, Milk, Fluid",2011,US,Production,(MT),89020000.0
59,"Dairy, Milk, Fluid",2012,US,Production,(MT),91010000.0
75,Honey,1998,US,Production,(MT),99571.62321
76,Honey,1999,US,Production,(MT),91800.71933
77,Honey,2000,US,Production,(MT),99589.31322
78,Honey,2001,US,Production,(MT),84253.43532
79,Honey,2002,US,Production,(MT),77684.09135
80,Honey,2003,US,Production,(MT),82268.52548
81,Honey,2004,US,Production,(MT),82884.04711
82,Honey,2005,US,Production,(MT),78910.59871
83,Honey,2006,US,Production,(MT),69960.81442
84,Honey,2007,US,Production,(MT),66959.40939
85,Honey,2008,US,Production,(MT),73922.46948
86,Honey,2009,US,Production,(MT),65801.39412
87,Honey,2010,US,Production,(MT),79511.60546
88,Honey,2011,US,Production,(MT),66768.90159
89,Honey,2012,US,Production,(MT),63914.00613
90,"Meat, Beef and Veal",1998,US,Production,(1000 MT CWE),11804.0
91,"Meat, Beef and Veal",1999,US,Production,(1000 MT CWE),12124.0
92,"Meat, Beef and Veal",2000,US,Production,(1000 MT CWE),12298.0
93,"Meat, Beef and Veal",2001,US,Production,(1000 MT CWE),11983.0
94,"Meat, Beef and Veal",2002,US,Production,(1000 MT CWE),12427.0
95,"Meat, Beef and Veal",2003,US,Production,(1000 MT CWE),12039.0
96,"Meat, Beef and Veal",2004,US,Production,(1000 MT CWE),11261.0
97,"Meat, Beef and Veal",2005,US,Production,(1000 MT CWE),11318.0
98,"Meat, Beef and Veal",2006,US,Production,(1000 MT CWE),11981.0
99,"Meat, Beef and Veal",2007,US,Production,(1000 MT CWE),12168.0
100,"Meat, Beef and Veal",2008,US,Production,(1000 MT CWE),12226.0
