Year,CoffeeValue,HoneyValue,CottonValue,SugarValue
1998,13920,99571.62321,3006720,20431000
1999,9780,91800.71933,2112480,7276000
2000,11100,99589.31322,2397600,7597000
2001,10980,84253.43532,2371680,183000
2002,1303740,77684.09135,2112480,163000
2003,1032540000,82268.52548,2112480,580000000
2004,1095300000,82884.04711,2410560,186000
2005,1395060000,78910.59871,3665088000,13918000
2006,1433400000,69960.81442,3712608000,20303000
2007,436560000,66959.40939,4385448000,23251000
2008,455820000,73922.46948,5160240000,680000000
2009,492180000,65801.39412,5022216000,606600000
2010,835080000,79511.60546,146880000000,604131000
2011,430020000,66768.90159,219905280000,527720000
2012,1218180000,63914.00613,222756480000,23890000
