Commodity_Description,Year,Value,Country_Code,Country_Name,Attribute_Description,Unit_Description
"Almonds, Shelled Basis",1998,235884,US,United States,Production,(MT)
"Almonds, Shelled Basis",1999,377800,US,United States,Production,(MT)
"Almonds, Shelled Basis",2000,318900,US,United States,Production,(MT)
"Almonds, Shelled Basis",2001,376500,US,United States,Production,(MT)
"Almonds, Shelled Basis",2002,494416,US,United States,Production,(MT)
"Almonds, Shelled Basis",2003,471740,US,United States,Production,(MT)
"Almonds, Shelled Basis",2004,462664,US,United States,Production,(MT)
"Almonds, Shelled Basis",2005,415040,US,United States,Production,(MT)
"Almonds, Shelled Basis",2006,508023,US,United States,Production,(MT)
"Almonds, Shelled Basis",2007,630500,US,United States,Production,(MT)
"Almonds, Shelled Basis",2008,739400,US,United States,Production,(MT)
"Almonds, Shelled Basis",2009,639600,US,United States,Production,(MT)
"Almonds, Shelled Basis",2010,748430,US,United States,Production,(MT)
"Almonds, Shelled Basis",2011,920800,US,United States,Production,(MT)
"Almonds, Shelled Basis",2012,952500,US,United States,Production,(MT)
"Almonds, Shelled Basis",2013,911720,US,United States,Production,(MT)
"Almonds, Shelled Basis",2014,952540,US,United States,Production,(MT)
"Almonds, Shelled Basis",2015,861830,US,United States,Production,(MT)
"Almonds, Shelled Basis",2016,970690,US,United States,Production,(MT)
"Almonds, Shelled Basis",2017,1029650,US,United States,Production,(MT)
"Almonds, Shelled Basis",2018,1111300,US,United States,Production,(MT)
"Almonds, Shelled Basis",2019,1156660,US,United States,Production,(MT)
"Almonds, Shelled Basis",2020,1412940,US,United States,Production,(MT)
"Almonds, Shelled Basis",2021,1270060,US,United States,Production,(MT)
"Apples, Fresh",1998,5282724,US,United States,Production,(MT)
"Apples, Fresh",1999,5746060,US,United States,Production,(MT)
"Apples, Fresh",2000,5675890,US,United States,Production,(MT)
"Apples, Fresh",2001,5065060,US,United States,Production,(MT)
"Apples, Fresh",2002,4605810,US,United States,Production,(MT)
"Apples, Fresh",2003,4780600,US,United States,Production,(MT)
"Apples, Fresh",2004,5683040,US,United States,Production,(MT)
"Apples, Fresh",2005,5261960,US,United States,Production,(MT)
"Apples, Fresh",2006,5351610,US,United States,Production,(MT)
"Apples, Fresh",2007,4154195,US,United States,Production,(MT)
"Apples, Fresh",2008,4508344,US,United States,Production,(MT)
"Apples, Fresh",2009,4505000,US,United States,Production,(MT)
"Apples, Fresh",2010,4219541,US,United States,Production,(MT)
"Apples, Fresh",2011,4231474,US,United States,Production,(MT)
"Apples, Fresh",2012,4200000,US,United States,Production,(MT)
"Apples, Fresh",2013,4731741,US,United States,Production,(MT)
"Apples, Fresh",2014,5111942,US,United States,Production,(MT)
"Apples, Fresh",2015,4561000,US,United States,Production,(MT)
"Apples, Fresh",2016,5010201,US,United States,Production,(MT)
"Apples, Fresh",2017,5084727,US,United States,Production,(MT)
"Apples, Fresh",2018,5048000,US,United States,Production,(MT)
"Apples, Fresh",2019,4851625,US,United States,Production,(MT)
