Commodity_Description,Year,Production_MT
"Almonds, Shelled Basis",1998,235884.0
"Almonds, Shelled Basis",1999,377800.0
"Almonds, Shelled Basis",2000,318900.0
"Almonds, Shelled Basis",2001,376500.0
"Almonds, Shelled Basis",2002,494416.0
"Almonds, Shelled Basis",2003,471740.0
"Almonds, Shelled Basis",2004,462664.0
"Almonds, Shelled Basis",2005,415040.0
"Almonds, Shelled Basis",2006,508023.0
"Almonds, Shelled Basis",2007,630500.0
"Almonds, Shelled Basis",2008,739400.0
"Almonds, Shelled Basis",2009,639600.0
"Almonds, Shelled Basis",2010,748430.0
"Almonds, Shelled Basis",2011,920800.0
"Almonds, Shelled Basis",2012,952500.0
"Apples, Fresh",1998,5282724.0
"Apples, Fresh",1999,5746060.0
"Apples, Fresh",2000,5675890.0
"Apples, Fresh",2001,5065060.0
"Apples, Fresh",2002,4605810.0
"Apples, Fresh",2003,4780600.0
"Apples, Fresh",2004,5683040.0
"Apples, Fresh",2005,5261960.0
"Apples, Fresh",2006,5351610.0
"Apples, Fresh",2007,4154195.0
"Apples, Fresh",2008,4508344.0
"Apples, Fresh",2009,4505000.0
"Apples, Fresh",2010,4219541.0
"Apples, Fresh",2011,4231474.0
"Apples, Fresh",2012,4200000.0
Barley,1998,7655000.0
Barley,1999,5922000.0
Barley,2000,6919000.0
Barley,2001,5407000.0
Barley,2002,4940000.0
Barley,2003,6059000.0
Barley,2004,6091000.0
Barley,2005,4613000.0
Barley,2006,3984000.0
Barley,2007,5030000.0
Barley,2008,5230000.0
Barley,2009,4951000.0
Barley,2010,4137000.0
Barley,2011,3810000.0
Barley,2012,4812000.0
"Coffee, Green",1998,13920.0
"Coffee, Green",1999,9780.0
"Coffee, Green",2000,11100.0
"Coffee, Green",2001,10980.0
"Coffee, Green",2002,9780.0
"Coffee, Green",2003,9780.0
"Coffee, Green",2004,11160.0
"Coffee, Green",2005,8760.0
"Coffee, Green",2006,10320.0
"Coffee, Green",2007,10320.0
"Coffee, Green",2008,10260.0
"Coffee, Green",2009,10200.0
"Coffee, Green",2010,9600.0
"Coffee, Green",2011,6600.0
"Coffee, Green",2012,6300.0
Corn,1998,247882000.0
Corn,1999,239549000.0
Corn,2000,251854000.0
Corn,2001,241377000.0
Corn,2002,227767000.0
Corn,2003,256278000.0
Corn,2004,299914000.0
Corn,2005,282311000.0
Corn,2006,282303000.0
Corn,2007,338295000.0
Corn,2008,312126000.0
Corn,2009,334052000.0
Corn,2010,339614000.0
Corn,2011,343043000.0
Corn,2012,375683000.0
Cotton,1998,3006287.9999999995
Cotton,1999,3665087.9999999995
Cotton,2000,3712607.9999999995
Cotton,2001,4385448.0
Cotton,2002,3717144.0
Cotton,2003,3943080.0
Cotton,2004,5022215.999999999
Cotton,2005,5160240.0
Cotton,2006,4693464.0
Cotton,2007,4190400.0
Cotton,2008,3132000.0
Cotton,2009,2902607.9999999995
Cotton,2010,4076568.0
Cotton,2011,3888000.0
Cotton,2012,3812616.0
"Dairy, Milk, Fluid",1998,71334000.0
"Dairy, Milk, Fluid",1999,73750000.0
"Dairy, Milk, Fluid",2000,75929000.0
"Dairy, Milk, Fluid",2001,74994000.0
"Dairy, Milk, Fluid",2002,77140000.0
"Dairy, Milk, Fluid",2003,77290000.0
"Dairy, Milk, Fluid",2004,77535000.0
"Dairy, Milk, Fluid",2005,80286000.0
"Dairy, Milk, Fluid",2006,82582000.0
"Dairy, Milk, Fluid",2007,84211000.0
"Dairy, Milk, Fluid",2008,86410000.0
"Dairy, Milk, Fluid",2009,86817000.0
"Dairy, Milk, Fluid",2010,87488000.0
"Dairy, Milk, Fluid",2011,89020000.0
"Dairy, Milk, Fluid",2012,91010000.0
"Filberts, Inshell Basis",1998,14061.0
"Filberts, Inshell Basis",1999,34500.0
"Filberts, Inshell Basis",2000,20471.0
"Filberts, Inshell Basis",2001,44906.0
"Filberts, Inshell Basis",2002,17700.0
"Filberts, Inshell Basis",2003,34400.0
"Filberts, Inshell Basis",2004,48502.0
"Filberts, Inshell Basis",2005,33566.0
"Filberts, Inshell Basis",2006,39010.0
"Filberts, Inshell Basis",2007,33600.0
"Filberts, Inshell Basis",2008,30800.0
"Filberts, Inshell Basis",2009,42640.0
"Filberts, Inshell Basis",2010,25400.0
"Filberts, Inshell Basis",2011,37200.0
"Filberts, Inshell Basis",2012,36300.0
"Fresh Cherries,(Sweet&Sour)",1998,336521.0
"Fresh Cherries,(Sweet&Sour)",1999,312226.0
"Fresh Cherries,(Sweet&Sour)",2000,318195.0
"Fresh Cherries,(Sweet&Sour)",2001,339359.0
"Fresh Cherries,(Sweet&Sour)",2002,192320.0
"Fresh Cherries,(Sweet&Sour)",2003,325670.0
"Fresh Cherries,(Sweet&Sour)",2004,353800.0
"Fresh Cherries,(Sweet&Sour)",2005,350170.0
"Fresh Cherries,(Sweet&Sour)",2006,386510.0
"Fresh Cherries,(Sweet&Sour)",2007,407880.0
"Fresh Cherries,(Sweet&Sour)",2008,321315.0
"Fresh Cherries,(Sweet&Sour)",2009,495346.0
"Fresh Cherries,(Sweet&Sour)",2010,367000.0
"Fresh Cherries,(Sweet&Sour)",2011,404660.0
"Fresh Cherries,(Sweet&Sour)",2012,418135.0
Fresh Peaches & Nectarines,1998,1248377.0
Fresh Peaches & Nectarines,1999,1342316.0
Fresh Peaches & Nectarines,2000,1358464.0
Fresh Peaches & Nectarines,2001,1297229.0
Fresh Peaches & Nectarines,2002,1519080.0
Fresh Peaches & Nectarines,2003,1480070.0
Fresh Peaches & Nectarines,2004,1429814.0
Fresh Peaches & Nectarines,2005,1365400.0
Fresh Peaches & Nectarines,2006,1171000.0
Fresh Peaches & Nectarines,2007,1269061.0
Fresh Peaches & Nectarines,2008,1302563.0
Fresh Peaches & Nectarines,2009,1194354.0
Fresh Peaches & Nectarines,2010,1237219.0
Fresh Peaches & Nectarines,2011,1210412.0
Fresh Peaches & Nectarines,2012,1099300.0
"Grapefruit, Fresh",1998,2280000.0
"Grapefruit, Fresh",1999,2507000.0
"Grapefruit, Fresh",2000,2233000.0
"Grapefruit, Fresh",2001,2199000.0
"Grapefruit, Fresh",2002,1872000.0
"Grapefruit, Fresh",2003,1964000.0
"Grapefruit, Fresh",2004,924000.0
"Grapefruit, Fresh",2005,1118000.0
"Grapefruit, Fresh",2006,1476000.0
"Grapefruit, Fresh",2007,1423000.0
"Grapefruit, Fresh",2008,1240000.0
"Grapefruit, Fresh",2009,1123000.0
"Grapefruit, Fresh",2010,1139000.0
"Grapefruit, Fresh",2011,1061000.0
"Grapefruit, Fresh",2012,1092000.0
"Grapes, Fresh",1998,708325.0
"Grapes, Fresh",1999,804873.0
"Grapes, Fresh",2000,822658.0
"Grapes, Fresh",2001,784107.0
"Grapes, Fresh",2002,891164.0
"Grapes, Fresh",2003,730701.0
"Grapes, Fresh",2004,800663.0
"Grapes, Fresh",2005,903202.0
"Grapes, Fresh",2006,723561.0
"Grapes, Fresh",2007,834909.0
"Grapes, Fresh",2008,893758.0
"Grapes, Fresh",2009,851856.0
"Grapes, Fresh",2010,900934.0
"Grapes, Fresh",2011,896916.0
"Grapes, Fresh",2012,908000.0
Honey,1998,99571.62321
Honey,1999,91800.71933
Honey,2000,99589.31322
Honey,2001,84253.43532
Honey,2002,77684.09135
Honey,2003,82268.52548
Honey,2004,82884.04711
Honey,2005,78910.59871
Honey,2006,69960.81442
Honey,2007,66959.40939
Honey,2008,73922.46948
Honey,2009,65801.39412
Honey,2010,79511.60546
Honey,2011,66768.90159
Honey,2012,63914.00613
