Commodity_Description,Year,Attribute_Description,Country_Code,Country_Name,Value,Unit_Description
"Almonds, Shelled Basis",1998,Domestic Consumption,GR,Greece,14000,(MT)
"Almonds, Shelled Basis",1998,Domestic Consumption,IT,Italy,22593,(MT)
"Almonds, Shelled Basis",1998,Domestic Consumption,MO,Morocco,8200,(MT)
"Almonds, Shelled Basis",1998,Domestic Consumption,SP,Spain,29600,(MT)
"Almonds, Shelled Basis",1998,Domestic Consumption,TU,Turkey,13800,(MT)
"Almonds, Shelled Basis",1998,Domestic Consumption,US,United States,88414,(MT)
"Almonds, Shelled Basis",1998,Exports,GR,Greece,1500,(MT)
"Almonds, Shelled Basis",1998,Exports,IT,Italy,1188,(MT)
"Almonds, Shelled Basis",1998,Exports,SP,Spain,40700,(MT)
"Almonds, Shelled Basis",1998,Exports,TU,Turkey,200,(MT)
"Almonds, Shelled Basis",1998,Exports,US,United States,183917,(MT)
"Almonds, Shelled Basis",1998,Imports,GR,Greece,2600,(MT)
"Almonds, Shelled Basis",1998,Imports,IT,Italy,13781,(MT)
"Almonds, Shelled Basis",1998,Imports,MO,Morocco,30,(MT)
"Almonds, Shelled Basis",1998,Imports,SP,Spain,26300,(MT)
"Almonds, Shelled Basis",1998,Imports,TU,Turkey,2000,(MT)
"Almonds, Shelled Basis",1998,Imports,US,United States,86,(MT)
"Almonds, Shelled Basis",1998,Production,GR,Greece,12000,(MT)
"Almonds, Shelled Basis",1998,Production,IT,Italy,9000,(MT)
"Almonds, Shelled Basis",1998,Production,MO,Morocco,8000,(MT)
"Almonds, Shelled Basis",1998,Production,SP,Spain,30000,(MT)
"Almonds, Shelled Basis",1998,Production,TU,Turkey,12000,(MT)
"Almonds, Shelled Basis",1998,Production,US,United States,235884,(MT)
"Almonds, Shelled Basis",2021,Domestic Consumption,AG,Algeria,5000,(MT)
"Almonds, Shelled Basis",2021,Domestic Consumption,AR,Argentina,4000,(MT)
"Almonds, Shelled Basis",2021,Domestic Consumption,AS,Australia,46000,(MT)
"Almonds, Shelled Basis",2021,Domestic Consumption,BO,Belarus,3000,(MT)
"Almonds, Shelled Basis",2021,Domestic Consumption,BR,Brazil,5000,(MT)
"Almonds, Shelled Basis",2021,Domestic Consumption,CA,Canada,33000,(MT)
"Almonds, Shelled Basis",2021,Domestic Consumption,CH,China,165000,(MT)
"Almonds, Shelled Basis",2021,Domestic Consumption,CI,Chile,9800,(MT)
"Almonds, Shelled Basis",2021,Domestic Consumption,CO,Colombia,3000,(MT)
"Almonds, Shelled Basis",2021,Domestic Consumption,E4,European Union,418645,(MT)
"Almonds, Shelled Basis",2021,Domestic Consumption,EG,Egypt,2000,(MT)
"Almonds, Shelled Basis",2021,Domestic Consumption,HK,Hong Kong,5000,(MT)
"Almonds, Shelled Basis",2021,Domestic Consumption,ID,Indonesia,3000,(MT)
"Almonds, Shelled Basis",2021,Domestic Consumption,IN,India,140200,(MT)
"Almonds, Shelled Basis",2021,Domestic Consumption,IS,Israel,8000,(MT)
"Almonds, Shelled Basis",2021,Domestic Consumption,JA,Japan,40000,(MT)
"Almonds, Shelled Basis",2021,Domestic Consumption,JO,Jordan,7000,(MT)
"Almonds, Shelled Basis",2021,Domestic Consumption,KS,"Korea, South",38000,(MT)
"Almonds, Shelled Basis",2021,Domestic Consumption,KZ,Kazakhstan,18000,(MT)
"Almonds, Shelled Basis",2021,Domestic Consumption,MO,Morocco,30000,(MT)
"Almonds, Shelled Basis",2021,Domestic Consumption,MX,Mexico,12500,(MT)
