"","Commodity_Description","Year","Value","Country_Code","Country_Name","Attribute_Description","Unit_Description"
"1","Barley",1998,7655000,"US","United States","Production","(MT)"
"2","Barley",1999,5922000,"US","United States","Production","(MT)"
"3","Barley",2000,6919000,"US","United States","Production","(MT)"
"4","Barley",2001,5407000,"US","United States","Production","(MT)"
"5","Barley",2002,4940000,"US","United States","Production","(MT)"
"6","Barley",2003,6059000,"US","United States","Production","(MT)"
"7","Barley",2004,6091000,"US","United States","Production","(MT)"
"8","Barley",2005,4613000,"US","United States","Production","(MT)"
"9","Barley",2006,3984000,"US","United States","Production","(MT)"
"10","Barley",2007,5030000,"US","United States","Production","(MT)"
"11","Barley",2008,5230000,"US","United States","Production","(MT)"
"12","Barley",2009,4951000,"US","United States","Production","(MT)"
"13","Barley",2010,4137000,"US","United States","Production","(MT)"
"14","Barley",2011,3810000,"US","United States","Production","(MT)"
"15","Barley",2012,4812000,"US","United States","Production","(MT)"
"16","Honey",1998,99571.62321,"US","United States","Production","(MT)"
"17","Honey",1999,91800.71933,"US","United States","Production","(MT)"
"18","Honey",2000,99589.31322,"US","United States","Production","(MT)"
"19","Honey",2001,84253.43532,"US","United States","Production","(MT)"
"20","Honey",2002,77684.09135,"US","United States","Production","(MT)"
"21","Honey",2003,82268.52548,"US","United States","Production","(MT)"
"22","Honey",2004,82884.04711,"US","United States","Production","(MT)"
"23","Honey",2005,78910.59871,"US","United States","Production","(MT)"
"24","Honey",2006,69960.81442,"US","United States","Production","(MT)"
"25","Honey",2007,66959.40939,"US","United States","Production","(MT)"
"26","Honey",2008,73922.46948,"US","United States","Production","(MT)"
"27","Honey",2009,65801.39412,"US","United States","Production","(MT)"
"28","Honey",2010,79511.60546,"US","United States","Production","(MT)"
"29","Honey",2011,66768.90159,"US","United States","Production","(MT)"
"30","Honey",2012,63914.00613,"US","United States","Production","(MT)"
"31","Oats",1998,2406000,"US","United States","Production","(MT)"
"32","Oats",1999,2114000,"US","United States","Production","(MT)"
"33","Oats",2000,2165000,"US","United States","Production","(MT)"
"34","Oats",2001,1707000,"US","United States","Production","(MT)"
"35","Oats",2002,1684000,"US","United States","Production","(MT)"
"36","Oats",2003,2096000,"US","United States","Production","(MT)"
"37","Oats",2004,1679000,"US","United States","Production","(MT)"
"38","Oats",2005,1667000,"US","United States","Production","(MT)"
"39","Oats",2006,1559000,"US","United States","Production","(MT)"
"40","Oats",2007,1597000,"US","United States","Production","(MT)"
"41","Oats",2008,1348000,"US","United States","Production","(MT)"
"42","Oats",2009,1354000,"US","United States","Production","(MT)"
"43","Oats",2010,1306000,"US","United States","Production","(MT)"
"44","Oats",2011,1045000,"US","United States","Production","(MT)"
"45","Oats",2012,1089000,"US","United States","Production","(MT)"
"46","Rice, Milled",1998,5798000,"US","United States","Production","(MT)"
"47","Rice, Milled",1999,6502000,"US","United States","Production","(MT)"
"48","Rice, Milled",2000,5941000,"US","United States","Production","(MT)"
"49","Rice, Milled",2001,6714000,"US","United States","Production","(MT)"
"50","Rice, Milled",2002,6602000,"US","United States","Production","(MT)"
"51","Rice, Milled",2003,6420000,"US","United States","Production","(MT)"
"52","Rice, Milled",2004,7462000,"US","United States","Production","(MT)"
"53","Rice, Milled",2005,7113000,"US","United States","Production","(MT)"
"54","Rice, Milled",2006,6267000,"US","United States","Production","(MT)"
"55","Rice, Milled",2007,6344000,"US","United States","Production","(MT)"
"56","Rice, Milled",2008,6617000,"US","United States","Production","(MT)"
"57","Rice, Milled",2009,7163000,"US","United States","Production","(MT)"
"58","Rice, Milled",2010,7975000,"US","United States","Production","(MT)"
"59","Rice, Milled",2011,6771000,"US","United States","Production","(MT)"
"60","Rice, Milled",2012,6356000,"US","United States","Production","(MT)"
"61","Rye",1998,309000,"US","United States","Production","(MT)"
"62","Rye",1999,280000,"US","United States","Production","(MT)"
