"","Commodity","Year","Metric.Tons"
"1","Almonds, Shelled Basis",1998,235884
"2","Apples, Fresh",1998,5282724
"3","Asparagus, Fresh",1998,65998
"4","Avocados, Fresh",1998,144469
"5","Barley",1998,7655000
"6","Coffee, Green",1998,13920
"7","Corn",1998,247882000
"8","Cotton",1998,3030287.36412
"9","Dairy, Milk, Fluid",1998,71334000
"10","Filberts, Inshell Basis",1998,14061
"11","Fresh Apricots",1998,107492
"12","Fresh Cherries,(Sweet&Sour)",1998,336521
"13","Fresh Peaches & Nectarines",1998,1248377
"14","Fresh Plums & Prunes",1998,486796
"15","Grapefruit, Fresh",1998,2280000
"16","Grapes, Fresh",1998,708325
"17","Honey",1998,99571.62321
"18","Kiwifruit",1998,31389
"19","Lemons/Limes, Fresh",1998,678000
"20","Macadamia, Inshell Basis",1998,26082
"21","Meat, Beef and Veal",1998,11804000
"22","Meat, Swine",1998,8623000
"23","Oats",1998,2406000
"24","Oil, Cottonseed",1998,377000
"25","Oil, Olive",1998,1000
"26","Oil, Peanut",1998,66000
"27","Oil, Rapeseed",1998,290000
"28","Oil, Soybean",1998,8202000
"29","Oil, Sunflowerseed",1998,534000
"30","Orange Juice",1998,879226
"31","Oranges, Fresh",1998,8989000
"32","Pears, Fresh",1998,880061
"33","Pecans, Inshell Basis",1998,66467
"34","Pistachios, Inshell Basis",1998,85275
"35","Potato Products, Frozen",1998,3565812
"36","Poultry, Meat, Turkey",1998,2365000
"37","Raisins",1998,255100
"38","Rice, Milled",1998,5798000
"39","Rye",1998,309000
"40","Sorghum",1998,13207000
"41","Strawberries, Fresh",1998,831254
"42","Sugar, Centrifugal",1998,7277000
"43","Tangerines/Mandarins, Fresh",1998,401000
"44","Walnuts, Inshell Basis",1998,205931
"45","Wheat",1998,69327000
"46","Almonds, Shelled Basis",1999,377800
"47","Apples, Fresh",1999,5746060
"48","Asparagus, Fresh",1999,68220
"49","Avocados, Fresh",1999,166289
"50","Barley",1999,5922000
"51","Coffee, Green",1999,9780
"52","Corn",1999,239549000
"53","Cotton",1999,3694346.60112
"54","Dairy, Milk, Fluid",1999,73750000
"55","Filberts, Inshell Basis",1999,34500
"56","Fresh Apricots",1999,82100
"57","Fresh Cherries,(Sweet&Sour)",1999,312226
"58","Fresh Peaches & Nectarines",1999,1342316
"59","Fresh Plums & Prunes",1999,647408
"60","Grapefruit, Fresh",1999,2507000
"61","Grapes, Fresh",1999,804873
"62","Honey",1999,91800.71933
"63","Kiwifruit",1999,24494
"64","Lemons/Limes, Fresh",1999,762000
"65","Macadamia, Inshell Basis",1999,25628
"66","Meat, Beef and Veal",1999,12124000
"67","Meat, Chicken",1999,13618000
"68","Meat, Swine",1999,8758000
"69","Oats",1999,2114000
"70","Oil, Cottonseed",1999,426000
"71","Oil, Olive",1999,1000
"72","Oil, Peanut",1999,104000
"73","Oil, Rapeseed",1999,319000
"74","Oil, Soybean",1999,8085000
"75","Oil, Sunflowerseed",1999,478000
"76","Orange Juice",1999,1071701
"77","Oranges, Fresh",1999,11875000
"78","Pears, Fresh",1999,921247
"79","Pecans, Inshell Basis",1999,184189
"80","Pistachios, Inshell Basis",1999,56056
"81","Potato Products, Frozen",1999,3497555
"82","Poultry, Meat, Turkey",1999,2372000
"83","Raisins",1999,315973
